Date,Berri 1,Brébeuf (données non disponibles),Côte-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel1,St-Urbain (données non disponibles)
2012-03-22,2195,,1030,1640,2654,1958,548,2254,
2012-04-24,1810,,720,1355,2379,1286,188,1753,
2012-02-22,375,,10,263,501,264,12,3,
2012-12-08,3995,,1338,1937,3427,1719,2988,4178,
2012-08-25,4242,,1305,2358,4126,1726,2558,4833,
2012-09-30,876,,359,513,957,520,133,1162,
2012-01-21,53,,0,47,70,32,1,0,
2012-10-14,587,,287,443,852,503,65,952,
2012-04-26,2751,,1069,2196,3546,1789,381,2438,
2012-01-10,3255,,1576,2184,3830,2582,397,2987,
2012-07-16,4827,,2092,3141,6049,2965,1703,4379,
2012-08-06,4169,,1833,3303,5881,3001,623,4474,
2012-03-07,6712,,2634,4398,7416,3896,2606,5462,
2012-04-28,1684,,628,1190,1908,931,523,2323,
2012-01-29,87,,1,65,132,40,7,0,
2012-09-09,3312,,1810,1828,3458,2668,2118,4355,
2012-06-18,5921,,2703,3582,6824,3960,2455,5496,
2012-09-20,5260,,2496,3615,6348,3991,1391,5119,
2012-08-19,4644,,1408,2605,3780,1758,1683,4478,
2012-07-08,5997,,2410,3622,6840,3480,2780,4903,
2012-10-17,4098,,1964,2645,4836,3063,728,3834,
2012-08-20,5335,,2474,3521,6088,3332,1439,5201,
2012-04-18,3570,,1751,2759,4655,2534,706,3542,
2012-08-31,4106,,1868,2999,5054,2541,875,4188,
2012-09-13,6520,,3076,4369,7514,4494,1986,5742,
2012-01-02,138,,0,100,271,71,5,0,
2012-09-02,342,,0,227,471,231,11,0,
2012-01-01,35,,0,38,51,26,10,16,
2012-10-04,2183,,909,1588,2932,1736,252,2108,
2012-05-08,1864,,630,1100,2327,970,1066,2268,
2012-02-15,307,,0,180,491,232,5,1,
2012-10-13,1783,,802,1205,2113,1183,681,2309,
2012-11-10,3746,,1857,2569,4694,3034,558,3457,
2012-07-18,6180,,2589,3750,7311,3654,2813,5884,
2012-04-29,1970,,765,1212,2077,1062,702,2493,
2012-06-28,6064,,2381,4411,6864,3523,2415,5175,
2012-08-18,4427,,1333,2505,3866,1864,1229,4359,
2012-03-16,423,,149,305,695,419,9,422,
2012-09-08,4127,,1802,2601,5377,2656,1471,3636,
2012-09-03,371,,8,279,575,268,8,38,
2012-04-22,1853,,487,1224,1331,654,198,1779,
2012-06-03,269,,0,192,437,170,10,0,
2012-10-10,3115,,1537,2081,3681,2608,560,2703,
2012-08-30,6003,,2910,4199,6781,3481,1796,5202,
2012-06-26,3327,,1435,2139,4318,2193,620,3223,
2012-01-03,92,,0,56,199,63,0,14,
2012-10-18,4671,,2292,3129,5542,3477,1108,4245,
2012-05-30,6459,,2722,4806,7632,3817,2454,5172,
2012-02-16,386,,1,212,569,295,10,0,
2012-02-18,220,,1,159,280,134,30,0,
2012-03-02,174,,1,103,301,111,1,1,
2012-10-25,3735,,1815,2528,5010,3017,631,3767,
2012-01-25,334,,1,217,453,180,4,0,
2012-07-22,4971,,1238,2683,4104,1788,2960,4787,
2012-07-03,438,,3,290,715,266,28,0,
2012-08-26,3964,,1318,2118,3558,1750,2932,4536,
2012-01-17,155,,0,86,256,74,0,0,
2012-03-11,844,,380,612,1137,713,105,1302,
2012-03-14,469,,146,313,739,451,0,336,
2012-09-22,1521,,656,1073,1682,971,365,1974,
2012-09-23,2314,,1093,1496,2572,1470,984,3321,
2012-04-01,144,,1,116,318,111,8,61,
2012-02-21,441,,5,292,503,286,10,6,
2012-04-06,2717,,1408,2095,4276,2168,333,3090,
2012-12-09,6349,,3124,4209,7292,4510,1981,5697,
2012-08-23,5437,,2482,3807,6773,3573,1864,5010,
2012-07-04,1208,,494,739,1445,709,598,1566,
2012-06-16,5421,,1651,3099,4909,2337,3280,5537,
2012-11-04,2328,,1049,1765,3122,1843,330,2311,
2012-07-31,5415,,2185,3145,6705,3222,2505,4468,
2012-05-28,4268,,1962,3449,5798,2898,1027,3894,
2012-07-23,3877,,1660,2420,4937,2534,1461,3475,
2012-05-10,4151,,1977,2799,4688,2844,1035,4088,
2012-03-25,520,,243,309,691,427,145,723,
2012-03-06,2755,,1897,2020,3768,2324,1312,4936,
2012-10-21,1277,,609,869,1777,898,242,1648,
2012-08-28,5817,,2794,3966,6313,3420,1629,4720,
2012-04-20,2087,,800,1529,2922,1531,170,2065,
2012-03-19,1821,,1024,1278,2581,1609,506,2058,
2012-12-02,78,,0,36,91,53,5,0,
2012-09-07,5661,,2330,3524,6769,3577,2599,4987,
2012-05-05,3492,,1366,2106,3696,1779,1677,4108,
2012-07-02,316,,0,209,516,225,9,0,
2012-10-06,5112,,1812,2905,4798,2328,1833,6170,
2012-01-13,75,,0,41,105,64,2,0,
2012-10-03,182,,13,162,296,165,0,58,
2012-09-24,4553,,2246,3117,5738,3705,1100,4683,
2012-10-29,2919,,1458,2071,3768,2440,411,2795,
2012-06-14,6908,,2978,4809,7934,4223,2386,6243,
2012-02-17,332,,3,237,496,260,11,1,
2012-10-24,3744,,1868,2625,4900,3035,649,3622,
2012-01-28,80,,1,61,123,33,9,1,
2012-09-28,4652,,2134,3209,5372,3309,1133,4361,
2012-09-10,4787,,2210,3026,5138,3418,927,4078,
2012-10-05,2755,,1227,2130,4056,2075,399,2437,
2012-06-13,6180,,2792,4374,7297,3825,1968,5887,
2012-02-14,318,,0,186,504,243,9,1,
2012-01-05,1986,,815,1722,2766,1516,195,1960,
2012-03-17,681,,287,422,872,468,334,1008,
2012-03-05,3698,,1618,3001,4943,2577,731,3603,
